"","year","trait","TP","Qsd1Train","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"102","2021","GE","TP1",0,"Scala/DH130910",2,0.116475438579558,0.16845994296085,57,11,13,40
"103","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.546148418348255,0.626209677419355,31,17,13,40
"104","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.452009943551885,0.44064626339243,68,17,13,40
"105","2021","GE","TP1",0,"Overall",0,0.343832921789809,0.305712212315986,105,40,14,40
"106","2021","GE","TP1",0,"Overall",2,0.36826390292803,0.37902003855892,208,40,14,40
"107","2021","GE","TP1",0,"SY_Tepee/DH130910",0,-0.257053193962665,-0.196640316205534,23,20,14,40
"108","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0854556084675396,0.151772401258149,82,20,14,40
"109","2021","GE","TP1",0,"Scala/DH130910",0,0.353175836270976,0.33976176971072,42,12,14,40
"110","2021","GE","TP1",0,"Scala/DH130910",2,0.112954879167137,0.0349364791288566,57,12,14,40
"111","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.326330699245261,0.305253283302064,40,8,14,40
"112","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.342159636839455,0.271846698553228,68,8,14,40
"113","2021","GE","TP1",0,"Overall",0,0.339325682339765,0.271252332573087,105,40,15,40
"114","2021","GE","TP1",0,"Overall",2,0.193729508627182,0.211863912358029,208,40,15,40
"115","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.0787297662467456,0.167519466073415,30,13,15,40
"116","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0464549548298825,0.0108074574721651,82,13,15,40
"117","2021","GE","TP1",0,"Scala/DH130910",0,0.249875325461607,0.172822299651568,41,13,15,40
"118","2021","GE","TP1",0,"Scala/DH130910",2,0.0289316009133891,0.088475499092559,57,13,15,40
"119","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.386888987722924,0.324675324675325,34,14,15,40
"120","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.328895964729446,0.412513002585897,68,14,15,40
"121","2021","GE","TP1",0,"Overall",0,0.416531453729363,0.371604810284056,105,40,16,40
"122","2021","GE","TP1",0,"Overall",2,0.281101697044787,0.274724985306228,208,40,16,40
"123","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.123512611324645,0.124247400109469,28,15,16,40
"124","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.155703413965607,0.101751178154352,82,15,16,40
"125","2021","GE","TP1",0,"Scala/DH130910",0,0.25846097791829,0.18321043675553,42,12,16,40
"126","2021","GE","TP1",0,"Scala/DH130910",2,-0.0650280850332637,-0.0304640912626394,57,12,16,40
"127","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.559966269484894,0.5296918767507,35,13,16,40
"128","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.426759463819046,0.483399658376579,68,13,16,40
"129","2021","GE","TP1",0,"Overall",0,0.379359880003703,0.355878084179971,105,40,17,40
"130","2021","GE","TP1",0,"Overall",2,0.283498848715592,0.291507407569175,208,40,17,40
"131","2021","GE","TP1",0,"SY_Tepee/DH130910",0,-0.0566355044049374,0.092375366568915,32,11,17,40
"132","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0248781352415156,0.0590437631283943,82,11,17,40
"133","2021","GE","TP1",0,"Scala/DH130910",0,0.321987147755584,0.251821862348178,39,15,17,40
"134","2021","GE","TP1",0,"Scala/DH130910",2,0.23502880520109,0.242027482499352,57,15,17,40
"135","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.407397527003119,0.423987776928953,34,14,17,40
"136","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.352163235624166,0.371973622699141,68,14,17,40
"137","2021","GE","TP1",0,"Overall",0,0.385153828196863,0.365695625129587,105,40,18,40
"138","2021","GE","TP1",0,"Overall",2,0.390797784017235,0.422076919768777,208,40,18,40
"139","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.0557875990116442,0.183743842364532,29,14,18,40
"140","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0679847727628052,0.0389090236283889,82,14,18,40
"141","2021","GE","TP1",0,"Scala/DH130910",0,0.334067331762189,0.323867595818815,41,13,18,40
"142","2021","GE","TP1",0,"Scala/DH130910",2,0.135660799164786,0.227378791807104,57,13,18,40
"143","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.524396571967926,0.571148459383754,35,13,18,40
