"","Family","Qsd1","correlation","trait","Population","Model"
"620","Scala/DH130910","0",0.349746923926684,"TP3_GI","Full","Base"
"621","Scala/DH130910","2",0.402203042357542,"TP3_GI","Full","Base"
"622","Scala/DH130910","Overall",0.849460490024604,"TP3_GI","Full","Base"
"623","SY_Tepee/DH130910","0",0.306019813434285,"TP3_GI","Full","Base"
"624","SY_Tepee/DH130910","2",0.305154553986202,"TP3_GI","Full","Base"
"625","SY_Tepee/DH130910","Overall",0.883840035031427,"TP3_GI","Full","Base"
"626","Wintmalt/DH130910","0",0.282269225118871,"TP3_GI","Full","Base"
"627","Wintmalt/DH130910","2",0.835134656520759,"TP3_GI","Full","Base"
"628","Wintmalt/DH130910","Overall",0.873239296844852,"TP3_GI","Full","Base"
"629","Flavia/DH130910","2",0.49582523420175,"TP3_GI","Full","Base"
"630","Flavia/DH130910","Overall",0.49582523420175,"TP3_GI","Full","Base"
"631","Overall","0",0.168656651762561,"TP3_GI","Full","Base"
"632","Overall","2",0.370848726212599,"TP3_GI","Full","Base"
"633","Overall","Overall",0.848369680074683,"TP3_GI","Full","Base"
"634","Scala/DH130910","0",0.213821566805392,"TP3_GI","Full","Base"
"635","Scala/DH130910","2",0.586278515578129,"TP3_GI","Full","Base"
"636","Scala/DH130910","Overall",0.874875133488735,"TP3_GI","Full","Base"
"637","SY_Tepee/DH130910","0",-0.311059654492527,"TP3_GI","Full","Base"
"638","SY_Tepee/DH130910","2",0.376811942027881,"TP3_GI","Full","Base"
"639","SY_Tepee/DH130910","Overall",0.839442326548502,"TP3_GI","Full","Base"
"640","Wintmalt/DH130910","0",0.614329550330414,"TP3_GI","Full","Base"
"641","Wintmalt/DH130910","2",0.0654967538449532,"TP3_GI","Full","Base"
"642","Wintmalt/DH130910","Overall",0.841996687421496,"TP3_GI","Full","Base"
"643","Flavia/DH130910","2",0.665827670188937,"TP3_GI","Full","Base"
"644","Flavia/DH130910","Overall",0.665827670188937,"TP3_GI","Full","Base"
"645","Overall","0",0.414529217178586,"TP3_GI","Full","Base"
"646","Overall","2",0.641122748322421,"TP3_GI","Full","Base"
"647","Overall","Overall",0.872626907790071,"TP3_GI","Full","Base"
"648","Scala/DH130910","0",0.435437403658821,"TP3_GI","Full","Base"
"649","Scala/DH130910","2",0.180720780910825,"TP3_GI","Full","Base"
"650","Scala/DH130910","Overall",0.850474886488583,"TP3_GI","Full","Base"
"651","SY_Tepee/DH130910","0",0.363259549836844,"TP3_GI","Full","Base"
