"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"2557","Scala/DH130910","0",0.487731400328801,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2558","Scala/DH130910","2",0.423502223349707,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2559","Scala/DH130910","Overall",0.574769625354774,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2560","Wintmalt/DH130910","0",0.731725002677466,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2561","Wintmalt/DH130910","2",0.293249746921351,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2562","Wintmalt/DH130910","Overall",0.7233690532818,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2563","Flavia/DH130910","2",0.640166563625067,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2564","Flavia/DH130910","Overall",0.640166563625067,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2565","Overall","0",0.371021793236122,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2566","Overall","2",0.457628889290961,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2567","Overall","Overall",0.683406628627377,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2568","SY_Tepee/DH130910","0",0.103043103259819,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2569","SY_Tepee/DH130910","2",0.227461192643022,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2570","SY_Tepee/DH130910","Overall",0.65625651704921,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2571","Scala/DH130910","0",0.462303915995635,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2572","Scala/DH130910","2",0.288328927399147,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2573","Scala/DH130910","Overall",0.56174263937391,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2574","Wintmalt/DH130910","0",0.161281301532163,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2575","Wintmalt/DH130910","2",0.408542153341162,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2576","Wintmalt/DH130910","Overall",0.749785864525762,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2577","Flavia/DH130910","2",0.429905834454676,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2578","Flavia/DH130910","Overall",0.429905834454676,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2579","Overall","0",0.268180465219047,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2580","Overall","2",0.336949150306279,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2581","Overall","Overall",0.689975525636335,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2582","SY_Tepee/DH130910","0",0.506291410274242,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2583","SY_Tepee/DH130910","2",0.442379909828755,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2584","SY_Tepee/DH130910","Overall",0.792923362933681,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2585","Scala/DH130910","0",0.209356085947166,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2586","Scala/DH130910","2",0.283207180387363,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2587","Scala/DH130910","Overall",0.603796595689649,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2588","Wintmalt/DH130910","0",0.481517179126938,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2589","Wintmalt/DH130910","2",0.0135308656538401,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2590","Wintmalt/DH130910","Overall",0.850490098108915,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2591","Flavia/DH130910","2",0.38001799482788,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2592","Flavia/DH130910","Overall",0.38001799482788,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2593","Overall","0",0.330813933667564,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2594","Overall","2",0.405932303285351,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2595","Overall","Overall",0.708847814762775,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
